,ID_REF,VALUE
717,202295_s_at,8.6361
718,202300_at,10.1293
719,202303_x_at,8.3391
720,202307_s_at,6.6645
721,202308_at,6.5487
722,202312_s_at,5.6845
723,202314_at,9.307
724,202316_x_at,7.377
725,202319_at,6.5677
726,202323_s_at,6.2039
727,202324_s_at,8.7324
728,202327_s_at,6.1716
729,202328_s_at,7.7809
730,202330_s_at,7.5612
731,202334_s_at,10.1261
732,202338_at,4.4208
733,202339_at,7.1046
734,202340_x_at,6.9531
735,202344_at,8.2693
736,202346_at,8.3852
737,202347_s_at,8.5764
738,202350_s_at,5.7359
739,202351_at,9.1552
740,202354_s_at,7.3971
741,202357_s_at,4.5655
742,202360_at,8.2492
743,202366_at,6.3541
744,202367_at,8.1173
745,202368_s_at,5.7556
746,202369_s_at,5.7599
747,202370_s_at,8.4427
748,202373_s_at,9.3258
749,202374_s_at,7.6398
750,202375_at,6.1434
751,202377_at,8.5227
752,202378_s_at,9.0097
753,202379_s_at,9.3395
754,202380_s_at,7.7006
755,202384_s_at,7.0727
756,202385_s_at,6.2821
757,202392_s_at,7.8214
758,202393_s_at,7.7778
759,202400_s_at,3.2395
760,202401_s_at,7.3547
761,202403_s_at,7.0897
762,202404_s_at,4.4709
763,202405_at,7.1857
764,202407_s_at,7.099
765,202409_at,7.8394
766,202410_x_at,5.0745
767,202411_at,8.5293
768,202415_s_at,8.4918
769,202416_at,9.6148
770,202419_at,7.9727
771,202420_s_at,7.4657
772,202421_at,7.4294
773,202423_at,8.9357
774,202426_s_at,4.9916
775,202427_s_at,9.7764
776,202428_x_at,10.9435
777,202430_s_at,6.9349
778,202431_s_at,6.0434
779,202435_s_at,6.8672
780,202436_s_at,7.2565
781,202437_s_at,6.6578
782,202438_x_at,7.6884
783,202439_s_at,8.475
784,202441_at,7.2871
785,202443_x_at,9.5809
786,202445_s_at,4.3473
787,202446_s_at,7.0003
788,202448_s_at,5.4422
789,202449_s_at,8.7904
790,202450_s_at,6.0914
791,202451_at,8.6676
792,202453_s_at,7.4653
793,202454_s_at,7.3998
794,202458_at,6.7882
795,202459_s_at,7.6641
796,202462_s_at,7.9884
797,202464_s_at,9.5003
798,202465_at,5.5358
799,202466_at,8.3877
800,202468_s_at,7.5702
801,202472_at,7.6657
802,202473_x_at,6.3314
803,202476_s_at,6.929
804,202478_at,8.9625
805,202479_s_at,7.7677
806,202481_at,7.9827
807,202483_s_at,10.0078
808,202485_s_at,4.9144
809,202488_s_at,6.3569
810,202489_s_at,6.3265
811,202490_at,4.9716
812,202495_at,8.4226
813,202496_at,8.5671
814,202497_x_at,8.0043
815,202498_s_at,7.6952
816,202503_s_at,4.1316
817,202504_at,4.7855
818,202505_at,9.246
819,202506_at,8.3792
820,202510_s_at,5.4647
821,202514_at,9.2679
822,202516_s_at,7.9467
823,202517_at,10.0404
824,202519_at,5.9125
825,202527_s_at,7.1186
826,202530_at,7.9118
827,202531_at,6.5418
828,202533_s_at,5.3578
829,202534_x_at,7.8238
830,202536_at,8.5259
831,202538_s_at,8.4746
832,202539_s_at,8.9318
833,202540_s_at,8.7675
834,202543_s_at,7.6913
835,202545_at,6.2729
836,202546_at,6.2395
837,202549_at,5.4378
838,202551_s_at,9.6519
839,202552_s_at,6.3679
840,202555_s_at,8.8327
841,202558_s_at,7.8851
842,202564_x_at,9.5934
843,202565_s_at,6.2863
844,202568_s_at,8.5001
845,202569_s_at,8.4308
846,202570_s_at,5.8232
